actuator_saturation.l_ankle_act,actuator_saturation.l_toe_act,actuator_saturation.r_ankle_act,actuator_saturation.r_toe_act,bilateral_windows,body_ground_contact,both_feet_sensed,case,digit_angles_deg.l_digits234_pitch,digit_angles_deg.l_digits2_pitch,digit_angles_deg.l_digits3_pitch,digit_angles_deg.l_digits4_pitch,digit_angles_deg.r_digits234_pitch,digit_angles_deg.r_digits2_pitch,digit_angles_deg.r_digits3_pitch,digit_angles_deg.r_digits4_pitch,digit_sensors_with_load,duration_s,final_drift_m,first_body_contact,first_body_contact.distance_m,first_body_contact.geom,first_body_contact.normal_force_N,first_body_contact.time_s,full_horizon,max_ground_force_N,max_self_contact_N,max_sensor_error_N,mechanism,obstacle_contact_samples,pad_load_fraction,peak_tilt_deg,pelvis_angular_velocity_rms,physics_bilateral,physics_bilateral_20pct_weight,physics_samples,physics_unsupported,positive_actuator_work_J,seed,sole_pitch_spectrum.peak_hz,sole_pitch_spectrum.power_above_10hz,sole_pitch_spectrum.rms,support_switches_per_s,termination,unsupported_windows
0.0,0.0,0.0,0.0,1.0,False,True,flat,,,,,,,,,[],20.0,0.0018030694873901376,,,,,,True,9.810042487357883,0.0,0.0,baseline,0,0.4396794468402982,0.6016754009383904,0.0001248237563042612,1.0,1.0,8000,0.0,7.064267252651192e-05,4010,0.0625,1.631070895979198e-07,6.502571665176174e-07,0.0,horizon,0.0
0.0,0.0,0.0,0.0,1.0,False,True,flat,,,,,,,,,[],20.0,0.0011784965136955533,,,,,,True,9.810030560099722,0.0,0.0,baseline,0,0.43968902293811746,0.45623234345366,0.00012345799782282943,1.0,1.0,8000,0.0,4.757042679545365e-05,4011,0.0625,1.5695303872614898e-11,2.334674014176161e-06,0.0625,horizon,0.0
,,,,,True,True,r_middle_3mm,,,,,,,,,[],0.872,0.12056794696156993,,-0.0002990883558315234,tail_4_geom,12.430795118567199,0.8720000000000007,False,,,0.0,baseline,108,,27.339878563243126,,,,0,,,4010,,,,,body_contact,
,,,,,True,True,r_middle_3mm,,,,,,,,,[],0.892,0.12007263235090435,,-0.0001775145929628942,tail_4_geom,12.214697387188156,0.8920000000000007,False,,,0.0,baseline,118,,27.325952347883895,,,,0,,,4011,,,,,body_contact,
,,,,,True,True,r_middle_6mm,,,,,,,,,[],0.676,0.1225655896923645,,-0.0011655418060145459,tail_4_geom,13.886086050289798,0.6760000000000005,False,,,0.0,baseline,120,,27.444084868120267,,,,0,,,4010,,,,,body_contact,
,,,,,True,True,r_middle_6mm,,,,,,,,,[],0.678,0.12154518741048935,,4.906390852465331e-05,tail_4_geom,12.196754037396605,0.6780000000000005,False,,,0.0,baseline,123,,27.308478368673203,,,,0,,,4011,,,,,body_contact,
0.0,0.0,0.0,0.0,1.0,False,True,r_outer_3mm,,,,,,,,,[],20.0,0.004037853545708289,,,,,,True,10.137204968825273,0.0,0.0,baseline,9758,0.45120675841986185,3.8769180428118784,0.00039961667163510375,1.0,1.0,8000,0.0,0.0004979066278509833,4010,0.0625,1.4293640868978282e-07,0.00023556782652661213,0.0,horizon,0.0
0.0,0.0,0.0,0.0,1.0,False,True,r_outer_3mm,,,,,,,,,[],20.0,0.003873580749841194,,,,,,True,10.126420031796574,0.0,0.0,baseline,9859,0.4488967527193014,3.0786086762023683,0.000496093313313549,1.0,1.0,8000,0.0,0.0005234227065097184,4011,0.0625,1.2924596529603722e-07,0.0002195747982248794,0.0,horizon,0.0
0.0,0.0,0.0,0.0,1.0,False,True,r_pad_3mm,,,,,,,,,[],20.0,0.0069317920459431035,,,,,,True,9.810984574751014,0.0,0.0,baseline,9993,0.5738032132149583,2.063587040937763,0.0003427589068940233,1.0,1.0,8000,0.0,2.7967738284786043e-05,4010,0.0625,2.2619104803551445e-12,6.062562401483672e-05,0.0,horizon,0.0
0.0,0.0,0.0,0.0,1.0,False,True,r_pad_3mm,,,,,,,,,[],20.0,0.00674131928816812,,,,,,True,9.811250731344417,0.0,0.0,baseline,9995,0.5952948089090156,2.0097952133995736,0.00045982828745552766,1.0,1.0,8000,0.0,4.178497118607146e-05,4011,0.0625,1.5022796537730435e-12,9.585811916481216e-05,0.0,horizon,0.0
