actuator_saturation.l_ankle_act,actuator_saturation.l_toe_act,actuator_saturation.r_ankle_act,actuator_saturation.r_toe_act,bilateral_windows,body_ground_contact,both_feet_sensed,command_spectrum.peak_hz,command_spectrum.power_above_10hz,command_spectrum.rms,diagnostic_intervention,digit_sensors_with_load,duration_s,final_drift_m,full_horizon,max_ground_force_N,max_self_contact_N,max_sensor_error_N,obstacle_contact_samples,pad_load_fraction,pelvis_angular_velocity_rms,physics_bilateral,physics_bilateral_20pct_weight,physics_samples,physics_unsupported,positive_actuator_work_J,reward,seed,sole_pitch_spectrum.peak_hz,sole_pitch_spectrum.power_above_10hz,sole_pitch_spectrum.rms,support_switches_per_s,termination,unsupported_windows,variant
0.361125,0.642125,0.190875,0.74075,0.01125,False,True,3.0625,0.0516047623399707,0.09060629405614419,False,[],20.0,0.2854803287150345,True,22.203807914384136,0.0,0.0,0,0.0013661900833519544,0.836459060404688,0.084125,0.071375,8000,0.002125,37.974457324326494,2781.3242161682197,4100,0.3125,0.10929703659765451,0.04893253961407168,7.1875,horizon,0.02125,baseline
0.3035,0.588875,0.199375,0.7745,0.00875,False,True,3.0625,0.0410628047402025,0.09379826407188757,False,[],20.0,0.22852076278229347,True,20.594514577307763,0.0,0.0,0,0.0004345979296812264,0.8278336230302109,0.086625,0.072625,8000,0.000875,35.57718162276123,2805.9914163876438,4101,3.0625,0.09166572559211551,0.0523733952290882,7.9375,horizon,0.01,baseline
0.322875,0.578125,0.201125,0.75925,0.0175,False,True,3.0625,0.0411375378579105,0.09271198994236758,False,[],20.0,0.2524362837049919,True,20.565400594109057,0.0,0.0,0,0.000276754522980143,0.8128483917789303,0.09325,0.077375,8000,0.001375,35.81719364340805,2794.4635788138894,4102,3.0625,0.1052977198602314,0.050099838881076525,6.75,horizon,0.01375,baseline
0.3085,0.611375,0.204125,0.764375,0.01375,False,True,3.0625,0.04824619833625006,0.09228826906861641,False,[],20.0,0.3479405552238802,True,20.872385442521733,0.0,0.0,0,0.00031504767579874015,0.8536875533013332,0.08625,0.073375,8000,0.001125,36.1104968955783,2729.594808208125,4103,2.875,0.11109794803779635,0.04801534197737779,7.4375,horizon,0.01125,baseline
0.3465,0.625375,0.207375,0.5755,0.0225,False,True,2.9375,0.013399593109266765,0.08003294252268749,True,[],20.0,0.20532688072334435,True,21.323573166790336,0.0,0.0,0,0.0015121317307091491,0.8461325856196938,0.11025,0.092125,8000,0.003,37.80916854592473,2777.6843852306556,4100,2.9375,0.07989707189996699,0.05198119976829477,8.625,horizon,0.02,feet_lp10
0.334625,0.59225,0.184375,0.657125,0.02125,False,True,3.0,0.01125300282021545,0.0801562748903827,True,[],20.0,0.2096631038877501,True,21.83971068507552,0.0,0.0,0,0.0011991177301144873,0.8280887257965747,0.1035,0.08775,8000,0.001625,35.888647221343135,2806.3141063404073,4101,3.0,0.106121518375323,0.05131431323024118,7.9375,horizon,0.0125,feet_lp10
0.31,0.6055,0.176875,0.62275,0.0225,False,True,3.0,0.010207334289354957,0.08160544342823327,True,[],20.0,0.24584267054704395,True,21.229821202261228,0.0,0.0,0,0.00237470607160865,0.8188646981931318,0.10275,0.08525,8000,0.00275,34.95789256430614,2763.060601449417,4102,3.0,0.09683343845528154,0.05206837467653418,8.1875,horizon,0.015,feet_lp10
0.338875,0.623375,0.191375,0.607875,0.0175,False,True,3.0,0.010857534063275637,0.0803420945259552,True,[],20.0,0.3329149041453394,True,22.069345901924923,0.0,0.0,0,0.0005183265773204451,0.8235659996384488,0.110375,0.093,8000,0.001125,36.24197331653429,2745.0918555390326,4103,3.0,0.0855428046289214,0.05000941274274389,7.875,horizon,0.00875,feet_lp10
0.3135,0.506875,0.175,0.567125,0.03,False,True,3.0625,0.006383336189975385,0.07110639602550353,True,[],20.0,0.2530665850120424,True,19.977839251816185,0.0,0.0,0,0.00019427416943967684,0.8727104008406646,0.12525,0.105125,8000,0.00125,35.775216078167105,2764.0823301824116,4100,3.0625,0.10538786514403944,0.04940649469826066,8.1875,horizon,0.015,feet_lp5
0.2995,0.525125,0.1865,0.541875,0.0325,False,True,2.9375,0.0069346202360568284,0.07095773575967756,True,[],20.0,0.22034991735770337,True,20.060700182713845,0.0,0.0,0,0.00038550768181914524,0.8221350377500585,0.126,0.104875,8000,0.00175,34.90593666933339,2801.8362746917323,4101,2.9375,0.07755053067040356,0.05031862612714324,8.5,horizon,0.015,feet_lp5
0.300125,0.484875,0.17375,0.5575,0.02875,False,True,3.0,0.005767220055818236,0.07155341206793527,True,[],20.0,0.2982002290545943,True,20.2961016960778,0.0,0.0,0,0.0010265254130918582,0.8472296796449786,0.11725,0.097625,8000,0.001,34.883904700117654,2776.5705670680986,4102,3.0,0.08304327500414885,0.04970291336982451,7.375,horizon,0.01,feet_lp5
0.318375,0.52775,0.17075,0.546125,0.02875,False,True,2.9375,0.0062667691072854845,0.07146448446528748,True,[],20.0,0.3741520399643335,True,20.53852916657064,0.0,0.0,0,0.0011737103599922588,0.8475728542799325,0.123,0.104375,8000,0.001625,35.55267335625659,2715.1031436155845,4103,2.9375,0.07965217491863665,0.05094689458991864,8.375,horizon,0.01625,feet_lp5
0.2525,0.2545,0.15125,0.504625,0.055,False,True,3.125,0.003028751505008791,0.04594126923990606,True,[],20.0,0.3059640210911586,True,20.07760202025233,0.0,0.0,0,0.0018142683287423109,0.8667028743195041,0.18425,0.15125,8000,0.0015,33.36960233286772,2768.0744409807526,4100,3.125,0.08594340214646054,0.04649198272807286,7.75,horizon,0.015,feet_lp2
0.27075,0.273875,0.16775,0.5125,0.06125,False,True,3.125,0.0030970325068517975,0.04601138710592461,True,[],20.0,0.23326941719861227,True,21.602152759585678,0.0,0.0,0,0.0006706419597729105,0.8732031324597471,0.183,0.154625,8000,0.0015,34.20469828392753,2765.1420620931594,4101,3.125,0.09203341673253146,0.04648788036942707,8.3125,horizon,0.02,feet_lp2
0.246,0.3,0.162375,0.594,0.05875,False,True,3.125,0.0028787102534726487,0.045791656110994616,True,[],20.0,0.2972183762655612,True,20.91016096158733,0.0,0.0,0,0.002472466784257716,0.8436727650391191,0.16975,0.143125,8000,0.00225,32.314499120449874,2741.838389511899,4102,3.125,0.0821017334095854,0.04556544082260151,8.75,horizon,0.02375,feet_lp2
0.251625,0.28325,0.154875,0.53975,0.05375,False,True,3.0625,0.0028170797430797172,0.0462529856619973,True,[],20.0,0.3882558681216424,True,19.80705616572573,0.0,0.0,0,0.0014891474220602725,0.8454363304690752,0.16925,0.140625,8000,0.001,33.58900313850797,2708.216893103163,4103,3.0625,0.08601380375359044,0.045206408400008065,7.25,horizon,0.01875,feet_lp2
